RODADA,MATAR WUMPUS,PEGAR OURO,NOVA POSIÇÃO,MOVIMENTOS TOTAIS,MORTES POÇO,MORTES WUMPUS,ATIRAR FLEXA,PONTUAÇÃO FINAL
1,1000,1000,124,375,2000,0,10,-241
2,1000,1000,65,163,1000,0,10,912
3,1000,1000,173,426,13000,0,10,-11243
4,1000,1000,505,1126,23000,0,10,-21611
5,1000,1000,553,1315,19000,0,10,-17752
6,1000,1000,396,1956,13000,0,10,-12550
7,0,1000,2,1,0,0,0,1001
8,1000,1000,189,1206,3000,0,10,-2007
9,0,1000,122,275,5000,0,0,-4153
10,0,1000,3000,183,7000,0,0,-6089
11,0,1000,51,87,0,0,0,964
12,1000,1000,423,1380,7000,0,10,-5947
13,1000,1000,69,341,1000,0,10,738
14,1000,1000,1037,2797,32000,0,10,-31750
